_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_one_cggt_multi_cdgt_psi,f_count_ok_cl_between2lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_psi_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_8428,519974672429203,1,0,0,0,1,0,5,6,1,2,2,2,4,1,5,0,1,3,4,0,1,5,2,2,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_9770,722993064732327,1,0,0,1,1,1,10,7,0,4,4,4,0,3,2,5,4,5,0,2,4,2,5,4,4,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_9075,840466914486569,0,1,1,1,1,0,4,3,0,2,4,4,0,0,5,5,5,0,4,4,3,1,5,4,4,3,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_3107,964242133575859,0,0,1,0,1,0,8,3,0,4,4,5,0,1,2,0,5,0,1,0,2,4,2,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_5626,924149220177557,1,0,1,1,0,0,4,4,0,2,0,0,1,4,2,0,0,5,3,1,1,5,3,0,1,3,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_1456,691025292996320,0,1,0,0,1,0,10,6,1,3,5,4,4,0,5,4,2,2,3,3,2,3,1,1,4,5,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_3027,545602677051707,1,1,0,0,1,1,10,0,1,5,2,4,5,4,5,0,5,5,4,3,1,2,0,3,2,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_7853,379396756372752,1,1,0,0,1,1,0,10,0,2,2,1,4,4,2,2,0,4,3,2,0,0,1,3,4,5,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_8384,304119974603064,1,1,0,1,0,0,0,1,1,5,0,5,5,0,3,3,5,3,2,3,5,4,4,2,0,2,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_5856,602630223424010,0,0,1,0,1,1,4,5,0,4,3,4,3,3,3,3,1,1,5,1,0,0,5,5,1,4,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_5716,737131966643266,0,1,0,1,0,0,6,8,0,3,2,0,2,2,4,4,4,3,3,4,4,3,2,5,4,2,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_7422,422194128348676,0,0,1,1,0,0,10,7,0,0,2,5,0,4,0,4,4,1,5,5,1,1,2,1,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
2025-05-08 15:57:54,2025-05-08 15:57:54,CGGT_4185,149258322806091,0,0,1,1,1,1,9,6,0,2,4,3,2,3,4,2,1,5,1,1,2,1,1,4,4,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
