_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_one_cggt_multi_cdgt_psi,f_count_ok_cl_between2lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_psi_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_2951,301909789705860,0,0,1,0,0,1,9,0,0,1,0,5,5,2,4,3,0,1,3,4,4,5,4,3,0,4,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_2824,376254533340526,0,0,0,0,0,1,8,7,0,2,5,0,4,2,4,1,0,0,2,4,1,2,5,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_3492,953938160188800,0,1,0,0,1,1,4,2,1,5,3,5,3,5,2,1,3,2,4,2,1,2,1,5,4,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_4418,874924677515943,0,0,0,0,1,1,4,6,0,1,1,5,4,0,3,1,2,2,5,1,4,2,0,0,0,2,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_2568,337193251051243,1,1,1,0,0,0,10,9,0,0,3,2,2,3,3,5,4,3,0,2,2,5,2,5,0,5,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_6496,236571330311128,1,1,1,1,1,0,1,2,0,2,0,1,3,0,4,5,4,4,5,1,4,3,1,1,0,5,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_5622,137115845483073,1,1,1,1,1,0,4,10,1,4,1,2,2,2,4,3,0,4,0,4,5,0,3,1,3,4,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_3390,286859073108568,1,1,0,0,1,1,6,7,1,5,3,2,5,5,0,3,2,4,2,5,4,3,0,4,2,4,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_9953,122230076408087,1,1,1,1,0,0,6,0,1,2,1,3,4,2,0,2,5,3,1,0,5,1,0,1,5,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_3713,351242121409235,0,0,0,0,0,0,6,7,0,3,1,0,1,2,2,1,5,0,3,0,2,0,4,4,0,4,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_4961,640395457495935,0,1,0,0,1,1,9,4,1,2,2,2,4,5,2,1,3,0,0,5,0,4,3,0,1,5,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_9985,524808950957840,0,1,0,0,0,0,2,1,1,2,0,1,0,4,4,0,3,1,1,0,1,1,5,1,5,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_6043,892931424143421,0,1,1,1,0,0,0,8,1,5,3,2,3,0,5,2,0,3,0,3,3,1,5,5,3,5,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
2025-05-08 16:08:05,2025-05-08 16:08:05,CGGT_4150,819041079395919,1,0,1,0,1,0,0,2,1,1,1,4,1,3,4,5,2,0,1,2,4,3,2,5,5,3,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0
